,id,long,lat,hex_long,hex_lat,shrubland,treecover,barren,dry2018,dry1980,frost2018,frost1980,summerT2018,summerT1980
93,-109.9786 37.60308,-109.9786,37.60308,-109.9802471,37.60254999999995,46,24,41,72,0,72,79,23.63913,22.5163
94,-109.9786 37.63027,-109.9786,37.63027,-109.9778559,37.63097059,67,0,32,39,0,72,84,22.7337,21.59783
95,-109.9782 37.62921,-109.9782,37.62921,-109.9826382,37.63097059,35,9,67,0,0,72,84,22.7337,21.59783
96,-109.9775 37.63344,-109.9775,37.63344,-109.9754647,37.63286529411755,40,14,53,0,0,72,84,22.7337,21.59783
97,-109.9762 37.62789,-109.9762,37.62789,-109.9778559,37.62718118,53,11,42,0,0,72,79,23.63913,22.5163
98,-109.9758 37.59912,-109.9758,37.59912,-109.9754647,37.59876058823525,19,0,71,46,0,72,79,23.63913,22.5163
99,-109.9758 37.60862,-109.9758,37.60862,-109.9778559,37.60823412,36,24,52,65,0,72,79,23.63913,22.5163
100,-109.9758 37.62684,-109.9758,37.62684,-109.9754647,37.62528647058815,59,10,30,63,41,72,79,23.63913,22.5163
101,-109.9734 37.61522,-109.9734,37.61522,-109.9754647,37.61391823529405,44,21,47,0,0,72,79,23.63913,22.5163
102,-109.9731 37.6308,-109.9731,37.6308,-109.9754647,37.62907588235285,71,29,11,0,0,72,84,22.7337,21.59783
103,-109.9714 37.63476,-109.9714,37.63476,-109.9706824,37.63286529411755,47,9,65,0,0,72,84,22.7337,21.59783
104,-109.9693 37.62631,-109.9693,37.62631,-109.9706824,37.62528647058815,51,10,38,0,0,72,79,23.63913,22.5163
105,-109.969 37.61284,-109.969,37.61284,-109.9682912,37.61202353,38,24,51,0,0,72,79,23.63913,22.5163
106,-109.9679 37.61654,-109.9679,37.61654,-109.9682912,37.61581294,34,7,54,67,0,72,79,23.63913,22.5163
107,-109.9679 37.62974,-109.9679,37.62974,-109.9682912,37.63097059,62,26,35,0,0,72,84,22.7337,21.59783
108,-109.9673 37.62868,-109.9673,37.62868,-109.9682912,37.62718118,24,0,54,57,34,72,79,23.63913,22.5163
109,-109.9669 37.62446,-109.9669,37.62446,-109.9706824,37.62149705882345,2,0,93,0,0,72,79,23.63913,22.5163
110,-109.9662 37.60783,-109.9662,37.60783,-109.9682912,37.60823412,40,9,53,0,0,72,79,23.63913,22.5163
111,-109.9662 37.63159,-109.9662,37.63159,-109.9706824,37.62907588235285,67,12,29,0,0,72,84,22.7337,21.59783
112,-109.9659 37.62525,-109.9659,37.62525,-109.9682912,37.62339176,59,18,37,0,0,72,79,23.63913,22.5163
